Key,Page,Section,English,Khmer,Notes
dfy.howread_beyond_desc,done-for-you,HOW I READ,"Domain behavior, history, and patterns across your entire list. Context, not just existence. An address that ""works"" can still be dangerous.","អាកប្បកិរិយារបស់ Domain ប្រវត្តិ និងលំនាំនៅទូទាំងបញ្ជីរបស់អ្នក។ បរិបទ មិនមែនគ្រាន់តែការមានវត្តមានទេ។ អាសយដ្ឋានដែល ""ដំណើរការ"" នៅតែអាចមានគ្រោះថ្នាក់។",
dfy.howread_miss,done-for-you,HOW I READ,I Check What Others Miss,ខ្ញុំពិនិត្យអ្វីដែលអ្នកផ្សេងមើលរំលង,
dfy.howread_miss_desc,done-for-you,HOW I READ,"Traps, role accounts, toxic domains, disposable patterns. The things that don't bounce but still hurt you. I've learned what to look for.","Spam traps, គណនី role, domains ដែលមានជាតិពុល, លំនាំ disposable។ អ្វីដែលមិន bounce ប៉ុន្តែនៅតែប៉ះពាល់ដល់អ្នក។ ខ្ញុំបានរៀនពីអ្វីដែលត្រូវស្វែងរក។",
dfy.howread_reasoning,done-for-you,HOW I READ,I Explain My Reasoning,ខ្ញុំពន្យល់ពីហេតុផលរបស់ខ្ញុំ,
dfy.howread_reasoning_desc,done-for-you,HOW I READ,"Not just labels. You get the thinking behind each decision so you understand why, and can make smarter calls next time.","មិនមែនគ្រាន់តែស្លាកទេ។ អ្នកទទួលបានការគិតនៅពីក្រោយការសម្រេចចិត្តនីមួយៗ ដើម្បីឱ្យអ្នកយល់ពីមូលហេតុ និងអាចសម្រេចចិត្តឆ្លាតវៃជាងមុននៅពេលក្រោយ។",
dfy.process_title,done-for-you,PROCESS,How It Works,របៀបដែលវាដំណើរការ,
dfy.process_subtitle,done-for-you,PROCESS,Simple process. Expert execution.,ដំណើរការសាមញ្ញ។ ការប្រតិបត្តិដោយអ្នកជំនាញ។,
dfy.step1_title,done-for-you,PROCESS,Send Us Your List,ផ្ញើបញ្ជីរបស់អ្នក,
dfy.step2_title,done-for-you,PROCESS,I Read Your List,ខ្ញុំអានបញ្ជីរបស់អ្នក,
dfy.step3_title,done-for-you,PROCESS,Get Labeled Results Back,ទទួលលទ្ធផលដែលមានស្លាក,
dfy.step4_title,done-for-you,PROCESS,Optional: Book a Walkthrough Call,ជាជម្រើស៖ កក់ការហៅទូរសព្ទពន្យល់,
dfy.consult_title,done-for-you,CONSULTATION,Not Sure What You Need?,មិនប្រាកដថាអ្នកត្រូវការអ្វី?,
dfy.consult_card,done-for-you,CONSULTATION,1:1 Call with YT,ការហៅទូរសព្ទ 1:1 ជាមួយ YT,DNT YT
dfy.consult_cta,done-for-you,CONSULTATION,Book a Free Consultation,កក់ការប្រឹក្សាឥតគិតថ្លៃ,
dfy.whofor_title,done-for-you,WHO FOR,Who This Is For,សម្រាប់នរណា,
dfy.whofor_yes,done-for-you,WHO FOR,This Is For You If,នេះសម្រាប់អ្នកប្រសិនបើ,
dfy.whofor_no,done-for-you,WHO FOR,Not For You If,មិនមែនសម្រាប់អ្នកប្រសិនបើ,
dfy.whofor_partner,done-for-you,WHO FOR,Connect With a Partner,ភ្ជាប់ជាមួយដៃគូ,
dfy.pricing_title,done-for-you,PRICING,Pricing,តម្លៃ,
dfy.notsure_title,done-for-you,PRICING,Not Sure Yet?,នៅមិនទាន់ប្រាកដ?,
dfy.notsure_cta,done-for-you,PRICING,Learn About SOS Hotline,ស្វែងយល់អំពី SOS Hotline,DNT SOS Hotline
dfy.cta_title,done-for-you,CTA,Ready to Know What's Actually In Your List?,ត្រៀមខ្លួនដឹងអ្វីដែលពិតជានៅក្នុងបញ្ជីរបស់អ្នក?,
dfy.cta_subtitle,done-for-you,CTA,"Send it over. I'll tell you what to keep, what to watch, and what to never send to again. With the reasoning behind every call.","ផ្ញើវាមក។ ខ្ញុំនឹងប្រាប់អ្នកថាអ្វីដែលត្រូវរក្សា អ្វីដែលត្រូវមើល និងអ្វីដែលមិនត្រូវផ្ញើទៅទៀត។ ជាមួយនឹងហេតុផលនៅពីក្រោយការសម្រេចចិត្តនីមួយៗ។",
dfy.cta_footer,done-for-you,CTA,Most lists returned within 24-48 hours.,បញ្ជីភាគច្រើនត្រឡប់មកវិញក្នុងរយៈពេល ២៤-៤៨ ម៉ោង។,
dfy.label_keep,done-for-you,OUTPUT,Keep,Keep,DNT Keep
dfy.label_monitor,done-for-you,OUTPUT,Monitor,Monitor,DNT Monitor
dfy.label_suppress,done-for-you,OUTPUT,Suppress,Suppress,DNT Suppress
dfy.step1_desc,done-for-you,PROCESS,"CSV, Excel, whatever you have. We have seen it all. No judgment, no questions.",CSV, Excel, អ្វីក៏បាន។ យើងបានឃើញទាំងអស់។ គ្មានការវិនិច្ឆ័យ គ្មានសំណួរ។,
dfy.step2_desc,done-for-you,PROCESS,"Every address gets examined. Domain patterns, history, risk signals. The full picture, not just a validity check.",រាល់អាសយដ្ឋានត្រូវបានពិនិត្យ។ លំនាំ Domain ប្រវត្តិ សញ្ញាហានិភ័យ។ រូបភាពពេញលេញ មិនមែនគ្រាន់តែការពិនិត្យសុពលភាព។,
dfy.step3_desc,done-for-you,PROCESS,"Keep, Monitor, or Suppress. With the specific reasons behind each decision. You will know what to do and why.","Keep, Monitor, ឬ Suppress។ ជាមួយនឹងហេតុផលជាក់លាក់នៅពីក្រោយការសម្រេចចិត្តនីមួយៗ។ អ្នកនឹងដឹងថាត្រូវធ្វើអ្វីនិងមូលហេតុ។",DNT Keep, Monitor, Suppress
dfy.step4_desc,done-for-you,PROCESS,Talk through the results with me. Understand what we found and plan your next steps.,និយាយអំពីលទ្ធផលជាមួយខ្ញុំ។ យល់ពីអ្វីដែលយើងរកឃើញ និងរៀបចំជំហានបន្ទាប់របស់អ្នក។,
dfy.consult_subtitle,done-for-you,CONSULTATION,No pressure, no pitch. Let's talk through your situation and figure out if list cleaning is even the right move.,គ្មានសម្ពាធ គ្មានការលក់។ និយាយអំពីស្ថានភាពរបស់អ្នក និងស្វែងយល់ថាការសម្អាតបញ្ជីគឺជាជំហានត្រឹមត្រូវឬអត់។,
dfy.consult_badge,done-for-you,CONSULTATION,First Free Consultation,ការប្រឹក្សាឥតគិតថ្លៃលើកដំបូង,
dfy.consult_card_desc,done-for-you,CONSULTATION,Tell me what's going on with your list, your sending, your concerns. I'll give you my honest take on what you actually need—even if it's not me.,ប្រាប់ខ្ញុំពីអ្វីដែលកំពុងកើតឡើងជាមួយបញ្ជីរបស់អ្នក ការផ្ញើរបស់អ្នក ការព្រួយបារម្ភរបស់អ្នក។ ខ្ញុំនឹងផ្តល់យោបល់ស្មោះត្រង់អំពីអ្វីដែលអ្នកត្រូវការ—ទោះបីជាវាមិនមែនជាខ្ញុំក៏ដោយ។,
dfy.consult_duration,done-for-you,CONSULTATION,15-30 minutes. No commitment required.,15-30 នាទី។ មិនតម្រូវឱ្យមានការប្តេជ្ញាចិត្ត។,
dfy.consult_topics_label,done-for-you,CONSULTATION,We can discuss,យើងអាចពិភាក្សា,
dfy.consult_topic1,done-for-you,CONSULTATION,Whether list cleaning makes sense for your situation,ថាតើការសម្អាតបញ្ជីសមហេតុផលសម្រាប់ស្ថានភាពរបស់អ្នកឬអត់,
dfy.consult_topic2,done-for-you,CONSULTATION,What's likely causing your deliverability issues,អ្វីដែលទំនងជាបណ្តាលឱ្យមានបញ្ហា deliverability របស់អ្នក,
dfy.consult_topic3,done-for-you,CONSULTATION,Which service level fits your needs,កម្រិតសេវាកម្មណាដែលសមនឹងតម្រូវការរបស់អ្នក,
dfy.consult_topic4,done-for-you,CONSULTATION,Timeline and turnaround expectations,ការរំពឹងទុកអំពីពេលវេលានិងការត្រឡប់មកវិញ,
dfy.consult_topic5,done-for-you,CONSULTATION,Questions about the process,សំណួរអំពីដំណើរការ,
dfy.whofor_yes1,done-for-you,WHO FOR,Running campaigns but seeing declining engagement,កំពុងដំណើរការយុទ្ធនាការប៉ុន្តែឃើញការចូលរួមធ្លាក់ចុះ,
dfy.whofor_yes2,done-for-you,WHO FOR,"Worried about bounces, complaints, or blocklists",ព្រួយបារម្ភអំពី bounces, បណ្តឹង, ឬ blocklists,
dfy.whofor_yes3,done-for-you,WHO FOR,Inheriting a list you did not build,ទទួលមរតកបញ្ជីដែលអ្នកមិនបានបង្កើត,
dfy.whofor_yes4,done-for-you,WHO FOR,"Under pressure to ""just send"" but sensing risk","ស្ថិតនៅក្រោមសម្ពាធឱ្យ ""គ្រាន់តែផ្ញើ"" ប៉ុន្តែមានអារម្មណ៍ហានិភ័យ",
dfy.whofor_yes5,done-for-you,WHO FOR,Trying to explain deliverability risks internally,ព្យាយាមពន្យល់ពីហានិភ័យ deliverability នៅក្នុងស្ថាប័ន,
dfy.whofor_no1,done-for-you,WHO FOR,You want someone to write or send campaigns for you,អ្នកចង់ឱ្យនរណាម្នាក់សរសេរឬផ្ញើយុទ្ធនាការឱ្យអ្នក,
dfy.whofor_no2,done-for-you,WHO FOR,You need ESP migration or setup help,អ្នកត្រូវការជំនួយការផ្លាស់ប្តូរ ESP ឬការដំឡើង,DNT ESP
dfy.whofor_no3,done-for-you,WHO FOR,You want ongoing managed services,អ្នកចង់បានសេវាកម្មគ្រប់គ្រងបន្ត,
dfy.whofor_no4,done-for-you,WHO FOR,You need content or design work,អ្នកត្រូវការការងារមាតិកាឬការរចនា,
dfy.testimonial_quote,done-for-you,TESTIMONIAL,The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call.,SOS Hotline បានផ្តល់ការណែនាំដែលមានប្រយោជន៍ខ្លាំង។ Yanna-Torry បានសម្អាតបញ្ជីរបស់យើង និងគាំទ្រយើងលើសពីការហៅទូរសព្ទ។,DNT SOS Hotline, Yanna-Torry
dfy.testimonial_author,done-for-you,TESTIMONIAL,"Megan S, UK","Megan S, UK",DNT
dfy.pricing_subtitle,done-for-you,PRICING,"Volume pricing: buy more credits, pay less per credit. No contracts, no tricks.",តម្លៃតាមបរិមាណ៖ ទិញ credit ច្រើន បង់តិចក្នុងមួយ credit។ គ្មានកិច្ចសន្យា គ្មានល្បិច។,
dfy.pricing_contact,done-for-you,PRICING,Questions first?,មានសំណួរជាមុន?,
dfy.pricing_just_ask,done-for-you,PRICING,Just ask,គ្រាន់តែសួរ,
dfy.notsure_desc,done-for-you,PRICING,Have a question before committing? Use the SOS Hotline. It is free. No sales pitch. Just honest answers.,មានសំណួរមុនពេលសម្រេចចិត្ត? ប្រើ SOS Hotline។ វាឥតគិតថ្លៃ។ គ្មានការលក់។ គ្រាន់តែចម្លើយស្មោះត្រង់។,DNT SOS Hotline
partner.title,partner,HERO,Partner With Us,ចាប់ដៃគូជាមួយយើង,
partner.subtitle,partner,HERO,Work with Review My Emails to help your clients protect their sender reputation.,ធ្វើការជាមួយ Review My Emails ដើម្បីជួយអតិថិជនរបស់អ្នកការពារកេរ្តិ៍ឈ្មោះអ្នកផ្ញើរបស់ពួកគេ។,DNT Review My Emails
partner.types_title,partner,TYPES,Who We Work With,អ្នកដែលយើងធ្វើការជាមួយ,
partner.esp_title,partner,TYPES,Email Service Providers,អ្នកផ្តល់សេវាកម្មអ៊ីមែល (ESP),
partner.esp_desc,partner,TYPES,Help your customers maintain clean lists. Reduce complaints and bounces before they hurt your shared infrastructure.,ជួយអតិថិជនរបស់អ្នករក្សាបញ្ជីស្អាត។ កាត់បន្ថយបណ្តឹងនិង bounces មុនពេលវាប៉ះពាល់ដល់ហេដ្ឋារចនាសម្ព័ន្ធរួមរបស់អ្នក។,
partner.agency_title,partner,TYPES,Marketing Agencies,ទីភ្នាក់ងារទីផ្សារ,
partner.agency_desc,partner,TYPES,Offer list hygiene as part of your email marketing services. Give clients clear recommendations, not just validation scores.,ផ្តល់ជូនអនាម័យបញ្ជីជាផ្នែកនៃសេវាកម្មទីផ្សារអ៊ីមែលរបស់អ្នក។ ផ្តល់អនុសាសន៍ច្បាស់លាស់ដល់អតិថិជន មិនមែនគ្រាន់តែពិន្ទុ validation ទេ។,
partner.consultant_title,partner,TYPES,Deliverability Consultants,អ្នកប្រឹក្សា Deliverability,
partner.consultant_desc,partner,TYPES,Add list interpretation to your toolkit. Get detailed analysis you can use in client reports and remediation plans.,បន្ថែមការបកស្រាយបញ្ជីទៅក្នុង toolkit របស់អ្នក។ ទទួលបានការវិភាគលម្អិតដែលអ្នកអាចប្រើក្នុងរបាយការណ៍អតិថិជននិងផែនការកែតម្រូវ។,
partner.data_title,partner,TYPES,Data Providers,អ្នកផ្តល់ទិន្នន័យ,
partner.data_desc,partner,TYPES,Validate the quality of email data before it reaches your customers. Reduce complaints and build trust.,ផ្ទៀងផ្ទាត់គុណភាពទិន្នន័យអ៊ីមែលមុនពេលវាទៅដល់អតិថិជនរបស់អ្នក។ កាត់បន្ថយបណ្តឹងនិងកសាងទំនុកចិត្ត។,
partner.cta_title,partner,CTA,Interested?,ចាប់អារម្មណ៍?,
partner.cta_subtitle,partner,CTA,Reach out to discuss how we can work together. No pitch deck required. Just tell us what you are trying to solve.,ទាក់ទងមកដើម្បីពិភាក្សាអំពីរបៀបដែលយើងអាចធ្វើការជាមួយគ្នា។ មិនត្រូវការ pitch deck ទេ។ គ្រាន់តែប្រាប់យើងពីអ្វីដែលអ្នកកំពុងព្យាយាមដោះស្រាយ។,
partner.cta_button,partner,CTA,Email Us,អ៊ីមែលមកយើង,
partner.modal_title,partner,MODAL,Partner With Us,ចាប់ដៃគូជាមួយយើង,
partner.modal_subtitle,partner,MODAL,Tell us about your business and we'll get back to you within 24 hours.,ប្រាប់យើងអំពីអាជីវកម្មរបស់អ្នក ហើយយើងនឹងទាក់ទងអ្នកវិញក្នុងរយៈពេល 24 ម៉ោង។,
partner.modal_placeholder,partner,MODAL,Tell us about your business and how you'd like to partner...,ប្រាប់យើងអំពីអាជីវកម្មរបស់អ្នក និងរបៀបដែលអ្នកចង់ចាប់ដៃគូ...,
partner.modal_button,partner,MODAL,Send Message,ផ្ញើសារ,
partner.modal_success_title,partner,MODAL,Message Received,ទទួលបានសារ,
partner.modal_success_text,partner,MODAL,We'll get back to you within 24 hours.,យើងនឹងទាក់ទងអ្នកវិញក្នុងរយៈពេល 24 ម៉ោង។,
pricing.hero_title,pricing,HERO,Beyond Validation. We Tell You What Your List Means.,លើសពី Validation។ យើងប្រាប់អ្នកពីអត្ថន័យនៃបញ្ជីរបស់អ្នក។,
pricing.hero_subtitle,pricing,HERO,"Not just pass/fail. Every address comes with reasoning so you know what to keep, what to monitor, and what to suppress.","មិនមែនគ្រាន់តែជាប់/ធ្លាក់ទេ។ រាល់អាសយដ្ឋានមកជាមួយហេតុផល ដើម្បីឱ្យអ្នកដឹងថាអ្វីត្រូវរក្សា អ្វីត្រូវតាមដាន និងអ្វីត្រូវ suppress។",
pricing.output_title,pricing,OUTPUT,What You Get,អ្វីដែលអ្នកទទួលបាន,
pricing.output_cleared,pricing,OUTPUT,Cleared After Full Review,បានសម្អាតបន្ទាប់ពីការពិនិត្យពេញលេញ,
pricing.output_patterns,pricing,OUTPUT,Patterns Worth Watching,លំនាំដែលគួរតាមដាន,
pricing.output_risk,pricing,OUTPUT,"Clear Risk, Clear Reasoning",ហានិភ័យច្បាស់លាស់ ហេតុផលច្បាស់លាស់,
pricing.whofor_title,pricing,WHO FOR,Who This Is For,សម្រាប់នរណា,
pricing.problem_title,pricing,PROBLEM,The Problem,បញ្ហា,
pricing.value_title,pricing,VALUE,What You Are Actually Paying For,អ្វីដែលអ្នកកំពុងបង់ប្រាក់ឱ្យ,
pricing.options_title,pricing,OPTIONS,Service Options,ជម្រើសសេវាកម្ម,
pricing.sos_title,pricing,OPTIONS,SOS Hotline,SOS Hotline,DNT SOS Hotline
pricing.dfy_title,pricing,OPTIONS,Done-For-You,Done-For-You,
pricing.selfserve_title,pricing,OPTIONS,Self-Serve,Self-Serve,
pricing.coming_soon,pricing,OPTIONS,Coming Soon,នឹងមកដល់ឆាប់ៗនេះ,
pricing.calculator_title,pricing,CALCULATOR,Pricing Calculator,ម៉ាស៊ីនគិតតម្លៃ,
pricing.calculate_price,pricing,CALCULATOR,Calculate Your Price,គណនាតម្លៃរបស់អ្នក,
pricing.get_started,pricing,CALCULATOR,Get Started,ចាប់ផ្តើម,
pricing.sos_section_title,pricing,SOS SECTION,SOS Email Hotline,SOS Email Hotline,DNT SOS
pricing.sos_free_help,pricing,SOS SECTION,Free Email Help,ជំនួយអ៊ីមែលឥតគិតថ្លៃ,
pricing.sos_learn_more,pricing,SOS SECTION,Learn More About SOS Hotline,ស្វែងយល់បន្ថែមអំពី SOS Hotline,DNT SOS Hotline
pricing.cta_title,pricing,CTA,Ready to Clean Your List?,ត្រៀមខ្លួនសម្អាតបញ្ជីរបស់អ្នកហើយឬនៅ?,
pricing.cta_getstarted,pricing,CTA,Get My List Cleaned,សម្អាតបញ្ជីរបស់ខ្ញុំ,
pricing.cta_waitlist,pricing,CTA,Join the Waitlist,ចូលរួមក្នុងបញ្ជីរង់ចាំ,
pricing.cta_freehelp,pricing,CTA,Get Free Help,ទទួលបានជំនួយឥតគិតថ្លៃ,
pricing.faq_title,pricing,FAQ,Questions?,សំណួរ?,
pricing.output_subtitle,pricing,OUTPUT,A cleaned list with clear recommendations.,បញ្ជីស្អាតដែលមានអនុសាសន៍ច្បាស់លាស់។,
pricing.output_cleared_desc,pricing,OUTPUT,No risk patterns surfaced during review. Domain behavior and historical signals support continued sending.,មិនមានលំនាំហានិភ័យលេចឡើងកំឡុងពេលពិនិត្យ។ អាកប្បកិរិយា domain និងសញ្ញាប្រវត្តិសាស្រ្តគាំទ្រការបន្តផ្ញើ។,
pricing.output_patterns_desc,pricing,OUTPUT,These require judgment. We surface historical patterns and relationship context. You decide how to segment based on your tolerance and goals.,ទាំងនេះទាមទារការវិនិច្ឆ័យ។ យើងបង្ហាញលំនាំប្រវត្តិសាស្រ្ត និងបរិបទទំនាក់ទំនង។ អ្នកសម្រេចចិត្តរបៀប segment ផ្អែកលើការអត់ធ្មត់ និងគោលដៅរបស់អ្នក។,
pricing.output_risk_desc,pricing,OUTPUT,Clear risk signals: known problem domains, disposable patterns, historical trap indicators. Each address includes the specific flags that earned suppression. You will know exactly why.,សញ្ញាហានិភ័យច្បាស់លាស់៖ domain មានបញ្ហាដែលស្គាល់, លំនាំ disposable, សូចនាករអន្ទាក់ប្រវត្តិសាស្រ្ត។ អាសយដ្ឋាននីមួយៗរួមបញ្ចូលទង់ជាក់លាក់ដែលនាំឱ្យមានការ suppress។ អ្នកនឹងដឹងច្បាស់ថាហេតុអ្វី។,
pricing.output_note,pricing,OUTPUT,Every decision comes with the reasoning behind it. This is not a pass/fail list. It is a decision-making tool built on historical domain behavior and pattern recognition.,រាល់ការសម្រេចចិត្តមកជាមួយហេតុផលនៅពីក្រោយវា។ នេះមិនមែនជាបញ្ជីជាប់/ធ្លាក់ទេ។ វាគឺជាឧបករណ៍សម្រេចចិត្តដែលបង្កើតឡើងលើអាកប្បកិរិយា domain ប្រវត្តិសាស្រ្ត និងការទទួលស្គាល់លំនាំ។,
pricing.whofor_subtitle,pricing,WHO FOR,Marketers who already send email and want to protect their sender reputation.,អ្នកទីផ្សារដែលផ្ញើអ៊ីមែលរួចហើយហើយចង់ការពារកេរ្តិ៍ឈ្មោះអ្នកផ្ញើរបស់ពួកគេ។,
pricing.whofor_note,pricing,WHO FOR,"If you care about long-term reputation, not just short-term volume, this is for you.","ប្រសិនបើអ្នកខ្វល់ពីកេរ្តិ៍ឈ្មោះរយៈពេលវែង មិនមែនគ្រាន់តែបរិមាណរយៈពេលខ្លី នេះគឺសម្រាប់អ្នក។",
pricing.whofor_item1,pricing,WHO FOR,Running campaigns but seeing declining engagement,កំពុងដំណើរការយុទ្ធនាការប៉ុន្តែឃើញការចូលរួមធ្លាក់ចុះ,
pricing.whofor_item2,pricing,WHO FOR,"Worried about bounces, complaints, or blocklists",ព្រួយបារម្ភអំពី bounces, បណ្តឹង, ឬ blocklists,
pricing.whofor_item3,pricing,WHO FOR,Inheriting a list you did not build,ទទួលមរតកបញ្ជីដែលអ្នកមិនបានបង្កើត,
pricing.whofor_item4,pricing,WHO FOR,"Under pressure to ""just send"" but sensing risk","ស្ថិតនៅក្រោមសម្ពាធឱ្យ ""គ្រាន់តែផ្ញើ"" ប៉ុន្តែមានអារម្មណ៍ហានិភ័យ",
pricing.whofor_item5,pricing,WHO FOR,Trying to explain deliverability to a boss who does not get it,ព្យាយាមពន្យល់ពី deliverability ដល់ចៅហ្វាយដែលមិនយល់,
pricing.badge_deliverable,pricing,PROBLEM,Deliverable,អាចផ្ញើបាន,
pricing.badge_undeliverable,pricing,PROBLEM,Undeliverable,មិនអាចផ្ញើបាន,
pricing.badge_risky,pricing,PROBLEM,Risky,ហានិភ័យ,
pricing.badge_unknown,pricing,PROBLEM,Unknown,មិនស្គាល់,
pricing.problem_intro,pricing,PROBLEM,Most list cleaning tools give you a status and leave you guessing. That tells you what to remove. It does not tell you what is actually wrong.,ឧបករណ៍សម្អាតបញ្ជីភាគច្រើនផ្តល់ឱ្យអ្នកនូវស្ថានភាពហើយទុកឱ្យអ្នកទស្សន៍ទាយ។ នោះប្រាប់អ្នកពីអ្វីដែលត្រូវលុបចេញ។ វាមិនប្រាប់អ្នកពីអ្វីដែលខុសពិតប្រាកដទេ។,
pricing.problem_q1,pricing,PROBLEM,Why is engagement dropping?,ហេតុអ្វីបានជាការចូលរួមធ្លាក់ចុះ?,
pricing.problem_q2,pricing,PROBLEM,Why are complaints rising?,ហេតុអ្វីបានជាបណ្តឹងកើនឡើង?,
pricing.problem_q3,pricing,PROBLEM,"Is it the list, the sending, or both?","តើវាជាបញ្ជី ការផ្ញើ ឬទាំងពីរ?",
pricing.problem_q4,pricing,PROBLEM,Which addresses are actually hurting me?,តើអាសយដ្ឋានណាដែលកំពុងប៉ះពាល់ដល់ខ្ញុំ?,
pricing.problem_q5,pricing,PROBLEM,What patterns should I watch for?,តើលំនាំអ្វីដែលខ្ញុំគួរតាមដាន?,
pricing.problem_q6,pricing,PROBLEM,What should I do about the ""risky"" ones?,តើខ្ញុំគួរធ្វើអ្វីចំពោះអ្នកដែល ""ហានិភ័យ""?,
pricing.problem_footer,pricing,PROBLEM,We give you the context to answer those questions.,យើងផ្តល់បរិបទឱ្យអ្នកដើម្បីឆ្លើយសំណួរទាំងនោះ។,
pricing.value_subtitle,pricing,VALUE,The difference between checking and interpreting.,ភាពខុសគ្នារវាងការពិនិត្យនិងការបកស្រាយ។,
pricing.comp_them1,pricing,VALUE,Validators check if an inbox exists.,Validators ពិនិត្យមើលថាតើ inbox មានឬអត់។,
pricing.comp_us1,pricing,VALUE,We assess whether sending there is safe.,យើងវាយតម្លៃថាតើការផ្ញើទៅទីនោះមានសុវត្ថិភាពឬអត់។,
pricing.comp_them2,pricing,VALUE,Validators give you a status.,Validators ផ្តល់ឱ្យអ្នកនូវស្ថានភាព។,
pricing.comp_us2,pricing,VALUE,We give you the reasoning behind a decision.,យើងផ្តល់ឱ្យអ្នកនូវហេតុផលនៅពីក្រោយការសម្រេចចិត្ត។,
pricing.comp_them3,pricing,VALUE,Validators flag what bounces.,Validators ដាក់ទង់អ្វីដែល bounce។,
pricing.comp_us3,pricing,VALUE,We flag what damages your reputation without bouncing.,យើងដាក់ទង់អ្វីដែលបំផ្លាញកេរ្តិ៍ឈ្មោះរបស់អ្នកដោយមិន bounce។,
pricing.comp_them4,pricing,VALUE,Validators process volume.,Validators ដំណើរការបរិមាណ។,
pricing.comp_us4,pricing,VALUE,We interpret patterns across your entire list.,យើងបកស្រាយលំនាំនៅទូទាំងបញ្ជីទាំងមូលរបស់អ្នក។,
pricing.comp_them5,pricing,VALUE,Validators leave you guessing.,Validators ទុកឱ្យអ្នកទស្សន៍ទាយ។,
pricing.comp_us5,pricing,VALUE,We tell you what to do and why.,យើងប្រាប់អ្នកពីអ្វីដែលត្រូវធ្វើនិងមូលហេតុ។,
pricing.badge_guidance,pricing,OPTIONS,Guidance,ការណែនាំ,
pricing.badge_execution,pricing,OPTIONS,Execution,ការប្រតិបត្តិ,
pricing.badge_automation,pricing,OPTIONS,Automation,ស្វ័យប្រវត្តិកម្ម,
pricing.sos_desc,pricing,OPTIONS,Free expert support for deliverability questions. No data touched. No list processed. Just honest answers.,ការគាំទ្រអ្នកជំនាញឥតគិតថ្លៃសម្រាប់សំណួរ deliverability។ គ្មានទិន្នន័យត្រូវបានប៉ះពាល់។ គ្មានបញ្ជីត្រូវបានដំណើរការ។ គ្រាន់តែចម្លើយស្មោះត្រង់។,
pricing.sos_status,pricing,OPTIONS,Use it before, during, or after cleaning to understand your situation.,ប្រើវាមុនពេល កំឡុងពេល ឬក្រោយពេលសម្អាតដើម្បីយល់ពីស្ថានភាពរបស់អ្នក។,
pricing.learn_more,pricing,OPTIONS,Learn more →,ស្វែងយល់បន្ថែម →,
pricing.dfy_desc,pricing,OPTIONS,"Send us your list. We process it, label every address, and return results with clear reasoning.","ផ្ញើបញ្ជីរបស់អ្នកមកយើង។ យើងដំណើរការវា ដាក់ស្លាករាល់អាសយដ្ឋាន និងប្រគល់លទ្ធផលមកវិញជាមួយនឹងហេតុផលច្បាស់លាស់។",
pricing.dfy_status,pricing,OPTIONS,You get the decisions made for you. Available now.,អ្នកទទួលបានការសម្រេចចិត្តដែលធ្វើជូនអ្នក។ មាននៅពេលនេះ។,
pricing.get_started_arrow,pricing,OPTIONS,Get started →,ចាប់ផ្តើម →,
pricing.selfserve_desc,pricing,OPTIONS,"Upload your list. Download results. Same methodology as done-for-you, but you run it yourself.","Upload បញ្ជីរបស់អ្នក។ Download លទ្ធផល។ វិធីសាស្រ្តដូចគ្នានឹង done-for-you ប៉ុន្តែអ្នកដំណើរការវាដោយខ្លួនឯង។",
pricing.selfserve_status,pricing,OPTIONS,Coming soon. Join the waitlist to get notified.,នឹងមកដល់ឆាប់ៗនេះ។ ចូលរួមក្នុងបញ្ជីរង់ចាំដើម្បីទទួលបានការជូនដំណឹង។,
pricing.join_waitlist,pricing,OPTIONS,Join Waitlist,ចូលរួមបញ្ជីរង់ចាំ,
pricing.newsletter_checkbox,pricing,OPTIONS,"Monthly deliverability insights (no spam, just signal)","ការយល់ដឹងអំពី deliverability ប្រចាំខែ (គ្មាន spam, គ្រាន់តែ signal)",
pricing.free_credits,pricing,OPTIONS,+1,500 free credits,+1,500 credit ឥតគិតថ្លៃ,
pricing.waitlist_success,pricing,OPTIONS,You're on the list! We'll notify you when self-serve launches.,អ្នកនៅក្នុងបញ្ជីហើយ! យើងនឹងជូនដំណឹងដល់អ្នកនៅពេល self-serve ចាប់ផ្តើម។,
pricing.options_note,pricing,OPTIONS,SOS tells you what to think about. Done-for-you does the thinking for you. Self-serve lets you do the thinking yourself.,SOS ប្រាប់អ្នកពីអ្វីដែលត្រូវគិត។ Done-for-you គិតជំនួសអ្នក។ Self-serve អនុញ្ញាតឱ្យអ្នកគិតដោយខ្លួនឯង។,
pricing.calculator_subtitle,pricing,CALCULATOR,Pay only for what you need. Credits never expire.,បង់តែអ្វីដែលអ្នកត្រូវការ។ Credit មិនដែលផុតកំណត់ទេ។,
pricing.calculator_intro,pricing,CALCULATOR,Simple. More volume, lower rate.,សាមញ្ញ។ បរិមាណកាន់តែច្រើន អត្រាកាន់តែទាប។,
pricing.how_many_emails,pricing,CALCULATOR,How many emails?,តើមានអ៊ីមែលប៉ុន្មាន?,
pricing.emails_unit,pricing,CALCULATOR,emails,អ៊ីមែល,
pricing.price_per_email,pricing,CALCULATOR,Price per email,តម្លៃក្នុងមួយអ៊ីមែល,
pricing.total,pricing,CALCULATOR,Total,សរុប,
pricing.calculator_note,pricing,CALCULATOR,Need more than 1 million?,ត្រូវការច្រើនជាង ១លាន?,
