Key,Page,Section,English,Vietnamese,Notes
quiz.capture_newsletter,quiz,CAPTURE,"Monthly deliverability insights (no spam, just signal)","Thông tin chi tiết về deliverability hàng tháng (không spam, chỉ có kiến thức hữu ích)",
quiz.capture_bonus,quiz,CAPTURE,1,500 credits when we launch,1,500 credits khi chúng tôi ra mắt,
quiz.capture_submit,quiz,CAPTURE,Send My Results,Gửi Kết Quả Cho Tôi,
quiz.capture_skip,quiz,CAPTURE,Skip,Bỏ Qua,
quiz.capture_waitlist,quiz,CAPTURE,Notify me when self-serve launches,Thông báo cho tôi khi dịch vụ tự phục vụ ra mắt,
quiz.capture_contact,quiz,CAPTURE,Have someone reach out to discuss my situation (no sales pitch),Có người liên hệ để thảo luận về tình hình của tôi (không chào hàng),
quiz.step_indicator,quiz,INTRO,Question {n} of {total},Câu hỏi {n} trên {total},Use {n} and {total} as placeholders
quiz.q1,quiz,QUESTIONS,How did the majority of these emails get on your list?,Đa số các email này vào danh sách của bạn bằng cách nào?,
quiz.q1_a1,quiz,QUESTIONS,They filled out a form on my website or app,Họ điền vào biểu mẫu trên website hoặc ứng dụng của tôi,
quiz.q1_a2,quiz,QUESTIONS,"Purchased, scraped, or cold outreach (no opt-in)","Mua, quét (scrape), hoặc tiếp cận lạnh (không có sự đồng ý)",
quiz.q1_a3,quiz,QUESTIONS,Mixed sources / I inherited this list,Nguồn hỗn hợp / Tôi được thừa hưởng danh sách này,
quiz.q2,quiz,QUESTIONS,Is your sending domain authenticated with DMARC?,Tên miền gửi của bạn có được xác thực bằng DMARC không?,DNT DMARC
quiz.q2_a1,quiz,QUESTIONS,"Yes, DMARC is set to Reject or Quarantine","Có, DMARC được đặt là Reject hoặc Quarantine",DNT DMARC, Reject, Quarantine
quiz.q2_a2,quiz,QUESTIONS,"I think so, but I'm not sure of the settings","Tôi nghĩ vậy, nhưng không chắc về cài đặt",
quiz.q2_a3,quiz,QUESTIONS,No / What is DMARC?,Không / DMARC là gì?,DNT DMARC
quiz.q3,quiz,QUESTIONS,Have you run this list through a validation tool?,Bạn đã chạy danh sách này qua công cụ validation chưa?,
quiz.q3_a1,quiz,QUESTIONS,No, never / Not in the last 6 months,Không, chưa bao giờ / Không trong 6 tháng qua,
quiz.q3_a2,quiz,QUESTIONS,Yes, it said ""Valid"" but I'm still seeing issues,Rồi, nó báo ""Valid"" nhưng tôi vẫn thấy vấn đề,
quiz.q3_a3,quiz,QUESTIONS,Yes, it flagged a lot as ""Unknown"" or ""Catch-All"",Rồi, nó gắn cờ rất nhiều là ""Unknown"" hoặc ""Catch-All"",
quiz.q3_a4,quiz,QUESTIONS,Yes, and everything seems fine,Rồi, và mọi thứ có vẻ ổn,
quiz.q4,quiz,QUESTIONS,What brought you here today?,Điều gì đưa bạn đến đây hôm nay?,
quiz.q4_a1,quiz,QUESTIONS,Open rates are slowly dropping over time,Tỷ lệ mở đang giảm dần theo thời gian,
quiz.q4_a2,quiz,QUESTIONS,ESP warning or suspension,Cảnh báo hoặc đình chỉ từ ESP,DNT ESP
quiz.q4_a3,quiz,QUESTIONS,I want to be safe before a big send,Tôi muốn an toàn trước một đợt gửi lớn,
quiz.q4_a4,quiz,QUESTIONS,Tools give conflicting answers,Các công cụ đưa ra câu trả lời mâu thuẫn,
quiz.loading_main,quiz,LOADING,Analyzing your responses...,Đang phân tích câu trả lời của bạn...,
quiz.loading_sub,quiz,LOADING,Comparing against common patterns,Đang so sánh với các mô hình phổ biến,
quiz.loading_checking,quiz,LOADING,Checking risk indicators...,Đang kiểm tra các chỉ số rủi ro...,
quiz.loading_matching,quiz,LOADING,Matching against known patterns,Đang đối chiếu với các mô hình đã biết,
quiz.loading_preparing,quiz,LOADING,Preparing your diagnosis...,Đang chuẩn bị chẩn đoán cho bạn...,
quiz.result_pattern,quiz,RESULTS,This is one of the most common patterns I see.,Đây là một trong những mô hình phổ biến nhất mà tôi thấy.,
quiz.badge_higher_risk,quiz,RESULTS,Higher Risk,Rủi Ro Cao Hơn,
quiz.badge_critical,quiz,RESULTS,Critical,Nghiêm Trọng,
quiz.badge_high_risk,quiz,RESULTS,High Risk,Rủi Ro Cao,
quiz.badge_medium_risk,quiz,RESULTS,Medium Risk,Rủi Ro Trung Bình,
quiz.badge_low_risk,quiz,RESULTS,Low Risk,Rủi Ro Thấp,
quiz.reality_check_title,quiz,RESULTS,What we'll do,Những gì chúng tôi sẽ làm,
quiz.reality_check_title_alt,quiz,RESULTS,What this means,Điều này có nghĩa là gì,
quiz.cta_talk_specialist,quiz,RESULTS,Talk to a Specialist,Nói Chuyện Với Chuyên Gia,
quiz.cta_full_review,quiz,RESULTS,Get a full review,Nhận đánh giá đầy đủ,
quiz.cta_diagnose,quiz,RESULTS,Let's diagnose this,Hãy chẩn đoán vấn đề này,
quiz.cta_clarity,quiz,RESULTS,Get clarity on your list,Làm rõ danh sách của bạn,
quiz.cta_diagnosis,quiz,RESULTS,Get the diagnosis,Nhận chẩn đoán,
quiz.cta_safety,quiz,RESULTS,Get a safety check,Kiểm tra an toàn,
quiz.result_infra_headline,quiz,RESULTS,Your infrastructure may be the problem.,Hạ tầng của bạn có thể là vấn đề.,
quiz.result_catchall_headline,quiz,RESULTS,Those ""Unknown"" addresses are not unknown to me.,Những địa chỉ ""Unknown"" đó không phải là ẩn số với tôi.,
quiz.result_decay_headline,quiz,RESULTS,Your list is slowly suffocating your delivery.,Danh sách đang từ từ bóp nghẹt khả năng gửi email của bạn.,
quiz.result_preventive_headline,quiz,RESULTS,You are in a good spot. Let's keep it that way.,Bạn đang ở vị thế tốt. Hãy giữ vững điều đó.,
quiz.result_noconsent_subhead,quiz,RESULTS,Lists without explicit consent carry more risk—but that doesn't mean you can't send safely. We'll remove the addresses most likely to hurt you.,Danh sách không có sự đồng ý rõ ràng mang nhiều rủi ro hơn—nhưng không có nghĩa là bạn không thể gửi an toàn. Chúng tôi sẽ loại bỏ những địa chỉ có khả năng gây hại nhất.,
quiz.result_crisis_subhead,quiz,RESULTS,An ESP warning is the final straw. Your reputation is already damaged. Automated cleaning alone will not get you reinstated.,Cảnh báo từ ESP là giọt nước tràn ly. Danh tiếng của bạn đã bị tổn hại. Chỉ làm sạch tự động sẽ không giúp bạn được phục hồi.,DNT ESP
quiz.result_toolfailure_subhead,quiz,RESULTS,You paid for syntax checking. You were punished for reputation. A 'Valid' email can still be a spam trap or chronic complainer.,Bạn trả tiền để kiểm tra cú pháp. Bạn bị trừng phạt về danh tiếng. Một email 'Valid' vẫn có thể là spam trap hoặc người hay khiếu nại.,
quiz.result_infra_subhead,quiz,RESULTS,Without proper DMARC authentication, even a clean list can land in spam. This is a fixable issue, but it needs attention before list cleaning matters.,Nếu không có xác thực DMARC phù hợp, ngay cả danh sách sạch cũng có thể vào spam. Đây là vấn đề có thể sửa được, nhưng cần chú ý trước khi tính đến việc làm sạch danh sách.,DNT DMARC
quiz.result_catchall_subhead,quiz,RESULTS,Catch-all domains accept everything. Validation tools cannot tell you which addresses are real. I can.,Tên miền Catch-all chấp nhận mọi thứ. Công cụ validation không thể cho bạn biết địa chỉ nào là thật. Tôi có thể.,
quiz.result_decay_subhead,quiz,RESULTS,No bounce spike. No warning. Just a quiet decline as dead weight accumulates and inbox providers filter you to spam.,Không có sự tăng vọt bounce. Không cảnh báo. Chỉ là sự suy giảm lặng lẽ khi 'trọng lượng chết' tích tụ và nhà cung cấp inbox lọc bạn vào spam.,
quiz.result_preventive_subhead,quiz,RESULTS,Healthy lists still decay by about 22% every year. A preventative review before a big send catches recycled traps that formed since your last campaign.,Danh sách khỏe mạnh vẫn suy giảm khoảng 22% mỗi năm. Đánh giá phòng ngừa trước đợt gửi lớn sẽ bắt được các bẫy tái chế hình thành từ chiến dịch trước.,
quiz.reality_noconsent,quiz,RESULTS,"We catch invalid addresses, spam traps, role accounts, and high-risk patterns that other validators miss. We're thorough. But we're also honest: no tool can catch every trap on a non-consent list because some are designed to be undetectable. That's true for every validator—we're just the ones who tell you.","Chúng tôi bắt được các địa chỉ không hợp lệ, spam traps, tài khoản chức năng và các mô hình rủi ro cao mà các validator khác bỏ sót. Chúng tôi kỹ lưỡng. Nhưng chúng tôi cũng trung thực: không công cụ nào có thể bắt được mọi bẫy trong danh sách không có sự đồng ý vì một số được thiết kế để không thể phát hiện. Điều đó đúng với mọi validator—chúng tôi chỉ là người nói cho bạn biết sự thật.",
quiz.reality_crisis,quiz,RESULTS,You need a remediation strategy, not just a clean list. I help identify the root cause and build a path back to good standing with your ESP.,Bạn cần một chiến lược khắc phục, không chỉ là một danh sách sạch. Tôi giúp xác định nguyên nhân gốc rễ và xây dựng lộ trình trở lại trạng thái tốt với ESP của bạn.,DNT ESP
quiz.reality_toolfailure,quiz,RESULTS,Automated tools cannot see behavioral history. They check code, not context. I find the 'Valid but Dangerous' addresses they miss.,Công cụ tự động không thể thấy lịch sử hành vi. Chúng kiểm tra mã, không phải ngữ cảnh. Tôi tìm ra các địa chỉ 'Hợp lệ nhưng Nguy hiểm' mà chúng bỏ sót.,
quiz.reality_infra,quiz,RESULTS,Domain authentication tells inbox providers you are who you say you are. Without it, your emails look suspicious regardless of list quality.,Xác thực tên miền nói cho nhà cung cấp inbox biết bạn là người bạn xưng danh. Nếu không có nó, email của bạn trông đáng ngờ bất kể chất lượng danh sách.,
quiz.reality_catchall,quiz,RESULTS,A large percentage of business domains are catch-all. Validation marks them 'Unknown' because it cannot verify. Pattern recognition and engagement history tell a different story.,Một tỷ lệ lớn tên miền doanh nghiệp là catch-all. Validation đánh dấu chúng là 'Unknown' vì không thể xác minh. Nhận dạng mô hình và lịch sử tương tác kể một câu chuyện khác.,
quiz.reality_decay,quiz,RESULTS,This is the hardest problem to diagnose because there is no event. Your list has accumulated decay, and it is dragging down your engaged subscribers.,Đây là vấn đề khó chẩn đoán nhất vì không có sự kiện cụ thể. Danh sách của bạn đã tích tụ sự suy thoái, và nó đang kéo những người đăng ký tương tác của bạn xuống.,
quiz.reality_preventive,quiz,RESULTS,You are doing the right things. A safety check ensures you do not accidentally hit a trap that did not exist last time you sent.,Bạn đang làm đúng. Kiểm tra an toàn đảm bảo bạn không vô tình chạm phải bẫy không tồn tại trong lần gửi trước.,
quiz.additional_issues_title,quiz,RESULTS,Other things we noticed,Những điều khác chúng tôi nhận thấy,
quiz.modal_title,quiz,MODAL,Talk to a Specialist,Nói Chuyện Với Chuyên Gia,
quiz.modal_subtitle,quiz,MODAL,Tell us about your situation and we'll get back to you within 24 hours.,Kể cho chúng tôi về tình huống của bạn và chúng tôi sẽ phản hồi trong vòng 24 giờ.,
quiz.modal_message_placeholder,quiz,MODAL,Tell us about your situation...,Kể cho chúng tôi về tình huống của bạn...,
quiz.capture_success,quiz,CAPTURE,Your results have been sent!,Kết quả của bạn đã được gửi!,
quiz.capture_credits_bonus,quiz,CAPTURE,You've also earned 1,500 free credits.,Bạn cũng đã kiếm được 1,500 credits miễn phí.,
quiz.capture_reach_out,quiz,CAPTURE,We'll reach out soon.,Chúng tôi sẽ liên hệ sớm.,
audit.badge,audit,INTRO,Free Self-Assessment,Tự Đánh Giá Miễn Phí,
audit.title,audit,INTRO,Inbox Placement Self-Audit,Tự Kiểm Tra Vị Trí Hộp Thư Đến (Inbox Placement),
audit.subtitle,audit,INTRO,What most senders never check. Use this monthly. Be honest. This is how problems get caught before revenue drops.,Điều mà hầu hết người gửi không bao giờ kiểm tra. Sử dụng hàng tháng. Hãy trung thực. Đây là cách phát hiện vấn đề trước khi doanh thu sụt giảm.,
audit.disclaimer,audit,INTRO,Important: This audit covers general best practices. Every business is different. A monthly newsletter has different needs than a daily SaaS notification. Some items here may not apply to you at all. The goal is awareness, not a perfect score.,Quan trọng: Bài kiểm tra này bao gồm các phương pháp hay nhất chung. Mỗi doanh nghiệp đều khác nhau. Bản tin hàng tháng có nhu cầu khác với thông báo SaaS hàng ngày. Một số mục ở đây có thể không áp dụng cho bạn. Mục tiêu là nhận thức, không phải điểm số hoàn hảo.,
audit.meta_time,audit,INTRO,5-7 minutes,5-7 phút,
audit.meta_sections,audit,INTRO,10 sections,10 phần,
audit.meta_tips,audit,INTRO,Personalized tips,Mẹo cá nhân hóa,
audit.start_button,audit,INTRO,Start Audit,Bắt Đầu Kiểm Tra,
audit.section_automation,audit,SECTIONS,Automation Timing,Thời Gian Tự Động Hóa,
audit.section_header,audit,SECTIONS,Header & Footer Hygiene,Vệ Sinh Header & Footer,
audit.section_tracking,audit,SECTIONS,Tracking Domain Risk,Rủi Ro Tên Miền Theo Dõi,
audit.section_engagement,audit,SECTIONS,Engagement Logic,Logic Tương Tác,
audit.section_layout,audit,SECTIONS,Layout Pattern Risk,Rủi Ro Mô Hình Bố Cục,
audit.section_sendtime,audit,SECTIONS,Send Time Logic,Logic Thời Gian Gửi,
audit.section_migration,audit,SECTIONS,ESP Migration Risk,Rủi Ro Di Chuyển ESP,
audit.section_subject,audit,SECTIONS,Subject vs Preview Trust,Niềm Tin Tiêu Đề vs Xem Trước,
audit.section_spam,audit,SECTIONS,Spam Folder Rendering,Hiển Thị Thư Mục Spam,
audit.section_validation,audit,SECTIONS,Validation Frequency,Tần Suất Validation,
audit.grade_strong,audit,RESULTS,Strong Foundation,Nền Tảng Vững Chắc,
audit.grade_attention,audit,RESULTS,Needs Attention,Cần Chú Ý,
audit.grade_risk,audit,RESULTS,High Risk,Rủi Ro Cao,
audit.out_of_100,audit,RESULTS,out of 100,trên 100,
audit.score_by_section,audit,RESULTS,Score by Section,Điểm Theo Phần,
audit.next_section,audit,BUTTONS,Next Section,Phần Tiếp Theo,
audit.see_results,audit,BUTTONS,See Results,Xem Kết Quả,
audit.retake,audit,BUTTONS,Retake Audit,Làm Lại Bài Kiểm Tra,
audit.save_title,audit,CAPTURE,Save Your Results,Lưu Kết Quả Của Bạn,
audit.send_report,audit,CAPTURE,Send My Report,Gửi Báo Cáo Cho Tôi,
audit.report_sent,audit,CAPTURE,Report Sent!,Báo Cáo Đã Gửi!,
audit.save_subtitle,audit,CAPTURE,Get a detailed report emailed and optionally join our waitlist.,Nhận báo cáo chi tiết qua email và tùy chọn tham gia danh sách chờ.,
audit.capture_newsletter,audit,CAPTURE,"Monthly deliverability insights (no spam, just signal)","Thông tin chi tiết về deliverability hàng tháng (không spam, chỉ có kiến thức hữu ích)",
audit.capture_bonus,audit,CAPTURE,1,500 credits when we launch,1,500 credits khi chúng tôi ra mắt,
audit.capture_waitlist,audit,CAPTURE,Notify me when self-serve launches,Thông báo cho tôi khi dịch vụ tự phục vụ ra mắt,
audit.capture_contact,audit,CAPTURE,Have someone reach out to discuss my audit results (no sales pitch),Có người liên hệ thảo luận về kết quả kiểm tra của tôi (không chào hàng),
audit.capture_skip,audit,CAPTURE,"Skip, I'll just review on screen","Bỏ qua, tôi sẽ xem trên màn hình",
audit.recommendations_title,audit,RESULTS,Action Items by Section,Hạng Mục Hành Động Theo Phần,
audit.recommendations_subtitle,audit,RESULTS,Everything flagged based on your answers. Review what applies to you:,Tất cả những gì bị gắn cờ dựa trên câu trả lời của bạn. Xem lại những gì áp dụng cho bạn:,
audit.sos_title,audit,SOS PLUG,Not Sure What Applies to You?,Không Chắc Điều Gì Áp Dụng Cho Bạn?,
audit.sos_desc,audit,SOS PLUG,Every business is different. What's critical for a daily sender might be irrelevant for a monthly newsletter. If you're unsure which items actually matter for your situation, talk to someone who's seen it all.,Mỗi doanh nghiệp đều khác nhau. Điều quan trọng đối với người gửi hàng ngày có thể không liên quan đến bản tin hàng tháng. Nếu bạn không chắc mục nào thực sự quan trọng với tình huống của mình, hãy nói chuyện với người đã thấy tất cả.,
audit.sos_badge,audit,SOS PLUG,Free. No pitch. Just answers.,Miễn phí. Không chào hàng. Chỉ có câu trả lời.,
audit.sos_card_desc,audit,SOS PLUG,"The SOS Hotline connects you with YT, a deliverability specialist who's cleaned thousands of lists and diagnosed hundreds of sending problems. Ask anything.","SOS Hotline kết nối bạn với YT, một chuyên gia deliverability đã làm sạch hàng nghìn danh sách và chẩn đoán hàng trăm vấn đề gửi email. Hỏi bất cứ điều gì.",DNT SOS Hotline, YT
audit.sos_cta,audit,SOS PLUG,Talk to a Specialist,Nói Chuyện Với Chuyên Gia,
audit.sos_learn_more,audit,SOS PLUG,Learn About SOS Hotline,Tìm Hiểu Về SOS Hotline,DNT SOS Hotline
audit.testimonial_quote,audit,TESTIMONIAL,Review My Emails goes beyond standard tools by identifying risky patterns others miss.,Review My Emails vượt xa các công cụ tiêu chuẩn bằng cách xác định các mô hình rủi ro mà người khác bỏ sót.,DNT Review My Emails
audit.testimonial_author,audit,TESTIMONIAL,"Julia S., Italy","Julia S., Ý",DNT
audit.get_cleaning,audit,BUTTONS,Get Expert List Cleaning,Nhận Dịch Vụ Làm Sạch Danh Sách Chuyên Gia,
about.email_link,about,CONTENT,Email,Email,
about.founder_title,about,CONTENT,"Founder, Review My Emails","Người Sáng Lập, Review My Emails",
audit.back,audit,CONTENT,Back,Quay Lại,
audit.built_by,audit,CONTENT,Built by,Được xây dựng bởi,
audit.get_cleaned,audit,CONTENT,Get Your List Cleaned,Làm Sạch Danh Sách Của Bạn,
audit.important,audit,CONTENT,Important:,Quan trọng:,
audit.what_cover,audit,CONTENT,What we'll cover,Những gì chúng ta sẽ đề cập,
home.title,homepage,META & SEO,Review My Emails | Email List Cleaning That Tells You What to Do,Review My Emails | Dịch Vụ Làm Sạch Danh Sách Email Chuyên Nghiệp,"DNT ""Review My Emails"""
home.meta_desc,homepage,META & SEO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do. Clear labels: Keep, Monitor, Suppress. With the reasoning behind each one.","Các công cụ Validation chỉ thấy địa chỉ. Chúng tôi thấy các mô hình, ngữ cảnh và rủi ro. Sau đó, chúng tôi cho bạn biết chính xác cần làm gì. Nhãn rõ ràng: Giữ (Keep), Theo dõi (Monitor), Chặn (Suppress). Với lý do đằng sau mỗi nhãn.","DNT Keep/Monitor/Suppress"
home.og_title,homepage,META & SEO,Review My Emails | Email List Cleaning That Tells You What to Do,Review My Emails | Dịch Vụ Làm Sạch Danh Sách Email Chuyên Nghiệp,"Same as title, for social sharing"
home.og_desc,homepage,META & SEO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do.","Các công cụ Validation chỉ thấy địa chỉ. Chúng tôi thấy các mô hình. Chúng tôi xác định rủi ro và cho bạn biết chính xác bước tiếp theo là gì.","For social sharing"
home.hero_badge,homepage,HERO,By Yanna-Torry Aspraki,Bởi Yanna-Torry Aspraki,DNT name
home.hero_headline_1,homepage,HERO,Stop guessing what is wrong with your list.,Ngừng đoán già đoán non về vấn đề của danh sách email.,First line of headline
home.hero_headline_2,homepage,HERO,We find the problems tools miss.,Chúng tôi tìm ra những vấn đề mà công cụ bỏ sót.,Second line, highlighted
home.hero_subhead,homepage,HERO,"Validation tools see addresses. We see patterns, context, and risk. Then we tell you exactly what to do.","Các công cụ Validation chỉ thấy địa chỉ. Chúng tôi phân tích các mô hình và rủi ro, cho bạn biết chính xác cần làm gì.",
home.cta_primary,homepage,HERO,Get My List Cleaned,Làm Sạch Danh Sách Của Tôi,Main CTA button
home.hero_bridge,homepage,HERO,Most email inboxing and deliverability problems trace back to list quality.,Hầu hết các vấn đề về inboxing và deliverability đều bắt nguồn từ chất lượng danh sách.,
home.hero_quiz_prefix,homepage,HERO,Not sure yet?,Chưa chắc chắn?,
home.hero_quiz_link,homepage,HERO,Take the 2-minute risk check,Làm bài kiểm tra rủi ro trong 2 phút,
dfy.hero_title,done-for-you,HERO,Validators check addresses. I read risk.,Công cụ kiểm tra địa chỉ. Tôi đọc vị rủi ro.,
dfy.hero_subtitle,done-for-you,HERO,"Your list isn't broken. The assumptions behind it are. I read lists the way experience taught me, not the way software defaults to.","Danh sách của bạn không hỏng. Các giả định đằng sau nó mới là vấn đề. Tôi đọc danh sách theo cách kinh nghiệm dạy tôi, không phải theo mặc định của phần mềm.",
dfy.hero_cta,done-for-you,HERO,Get My List Cleaned,Làm Sạch Danh Sách Của Tôi,
dfy.hero_cta_secondary,done-for-you,HERO,Contact Us First,Liên Hệ Chúng Tôi Trước,
dfy.output_title,done-for-you,OUTPUT,What You Get Back,Những Gì Bạn Nhận Được,
dfy.output_subtitle,done-for-you,OUTPUT,"Your list sorted into three buckets, with the labels and reasoning behind each decision.","Danh sách của bạn được phân loại thành ba nhóm, với nhãn và lý do đằng sau mỗi quyết định.",
dfy.output_safe,done-for-you,OUTPUT,Safe to Mail,An Toàn Để Gửi (Safe),
dfy.output_safe_desc,done-for-you,OUTPUT,"No flags found. Domain checks out, validation passed, no risk signals. These are clear to send.","Không tìm thấy cờ cảnh báo. Tên miền hợp lệ, validation thông qua, không có tín hiệu rủi ro. Những địa chỉ này an toàn để gửi.",
dfy.output_yellow,done-for-you,OUTPUT,Yellow Flags,Cờ Vàng (Yellow Flags),
dfy.output_yellow_desc,done-for-you,OUTPUT,Each address comes with specific labels explaining why it landed here. Context matters. How you segment and send to these decides the outcome.,Mỗi địa chỉ đi kèm với nhãn cụ thể giải thích tại sao nó ở đây. Ngữ cảnh rất quan trọng. Cách bạn phân khúc và gửi đến nhóm này sẽ quyết định kết quả.,
dfy.output_donotmail,done-for-you,OUTPUT,Do Not Mail,Không Gửi (Do Not Mail),
dfy.output_donotmail_desc,done-for-you,OUTPUT,"Each address comes with specific labels explaining why. Invalid, trap-likely, disposable, or other risk signals. Don't send here.","Mỗi địa chỉ có nhãn giải thích lý do. Không hợp lệ (Invalid), có thể là bẫy (Trap), dùng một lần (Disposable) hoặc các tín hiệu rủi ro khác. Đừng gửi đến đây.",
dfy.output_note,done-for-you,OUTPUT,You also get the validation and DNS data that informed each decision. Not just buckets. The full picture.,Bạn cũng nhận được dữ liệu validation và DNS đã cung cấp thông tin cho mỗi quyết định. Không chỉ là các nhóm phân loại. Mà là bức tranh toàn cảnh.,
dfy.howread_title,done-for-you,HOW I READ,How I Read Your List,Cách Tôi Đọc Danh Sách Của Bạn,
dfy.howread_beyond,done-for-you,HOW I READ,I Look Beyond the Address,Tôi Nhìn Xa Hơn Địa Chỉ Email,
dfy.howread_beyond_desc,done-for-you,HOW I READ,"Domain behavior, history, and patterns across your entire list. Context, not just existence. An address that ""works"" can still be dangerous.","Hành vi tên miền, lịch sử và các mô hình trên toàn bộ danh sách của bạn. Ngữ cảnh, không chỉ là sự tồn tại. Một địa chỉ ""hoạt động"" vẫn có thể nguy hiểm.",
dfy.howread_miss,done-for-you,HOW I READ,I Check What Others Miss,Tôi Kiểm Tra Những Gì Người Khác Bỏ Sót,
dfy.howread_miss_desc,done-for-you,HOW I READ,"Traps, role accounts, toxic domains, disposable patterns. The things that don't bounce but still hurt you. I've learned what to look for.","Bẫy (Traps), tài khoản chức năng (Role accounts), tên miền độc hại, mô hình email dùng một lần. Những thứ không bị trả lại (bounce) nhưng vẫn làm hại bạn. Tôi biết cần tìm gì.",
dfy.howread_reasoning,done-for-you,HOW I READ,I Explain My Reasoning,Tôi Giải Thích Lý Do Của Mình,
dfy.howread_reasoning_desc,done-for-you,HOW I READ,"Not just labels. You get the thinking behind each decision so you understand why, and can make smarter calls next time.","Không chỉ là nhãn dán. Bạn nhận được tư duy đằng sau mỗi quyết định để hiểu tại sao, và có thể đưa ra quyết định thông minh hơn vào lần tới.",
sos.badge,sos-hotline,HERO,Free Service,Dịch Vụ Miễn Phí,
sos.title,sos-hotline,HERO,Email SOS Hotline,Đường Dây Nóng SOS Email,DNT SOS Hotline
sos.subtitle,sos-hotline,HERO,"Free expert guidance for anyone with an email question. No sales pitch. No catch. Just honest answers from a deliverability specialist who gets emails into inboxes for a living.","Hướng dẫn miễn phí từ chuyên gia cho bất kỳ ai có câu hỏi về email. Không chào hàng. Không ràng buộc. Chỉ là những câu trả lời trung thực từ một chuyên gia deliverability, người sống bằng nghề đưa email vào inbox.",
sos.cta,sos-hotline,HERO,Contact the SOS Hotline,Liên Hệ SOS Hotline,DNT SOS Hotline
sos.note,sos-hotline,HERO,"Within 48 hours. Often sooner.","Trong vòng 48 giờ. Thường sớm hơn.",
sos.how_title,sos-hotline,HOW IT WORKS,How It Works,Cách Thức Hoạt Động,
sos.testimonials_title,sos-hotline,TESTIMONIALS,What People Say,Mọi Người Nói Gì,
sos.why_title,sos-hotline,WHY FREE,Why Is This Free?,Tại Sao Lại Miễn Phí?,
sos.why_free_p1,sos-hotline,WHY FREE,"We offer real help without charging because it is the right thing to do.","Chúng tôi cung cấp sự trợ giúp thực sự mà không tính phí đơn giản vì đó là điều đúng đắn nên làm.",
sos.final_cta_subtext,sos-hotline,FINAL CTA,"Email us. Within 48 hours. Often sooner.","Gửi email cho chúng tôi. Trong vòng 48 giờ. Thường sớm hơn.",
sos.how_step1,sos-hotline,HOW IT WORKS,You send an email to the SOS Hotline,Bạn gửi email đến SOS Hotline,DNT SOS Hotline
sos.how_step2,sos-hotline,HOW IT WORKS,You receive an automatic reply confirming we got it,Bạn nhận được trả lời tự động xác nhận chúng tôi đã nhận được,
sos.how_step3,sos-hotline,HOW IT WORKS,YT personally reads and responds within 48 hours,Yanna-Torry đích thân đọc và trả lời trong vòng 48 giờ,DNT YT
pricing.sos_desc,pricing,SOS,Free expert support for deliverability questions. No data touched. No list processed. Just honest answers.,Hỗ trợ chuyên gia miễn phí cho các câu hỏi về deliverability. Không đụng đến dữ liệu. Không xử lý danh sách. Chỉ có câu trả lời trung thực.,
pricing.sos_card_desc,pricing,SOS,"Ask any email question. Get a real answer from a real expert. No sales pitch, no strings attached.","Hỏi bất kỳ câu hỏi nào về email. Nhận câu trả lời thực tế từ chuyên gia thực thụ. Không chào hàng, không ràng buộc.",
pricing.sos_status,pricing,SOS,"Use it before, during, or after cleaning to understand your situation.","Sử dụng trước, trong hoặc sau khi làm sạch để hiểu tình trạng của bạn.",
sos.modal_subtitle,sos-hotline,MODAL,Tell us what's going on and we'll get back to you within 24-48 hours.,Hãy cho chúng tôi biết chuyện gì đang xảy ra và chúng tôi sẽ phản hồi trong vòng 24-48 giờ.,
sos.topics_headline,sos-hotline,TOPICS,If it touches email, we can help.,Nếu liên quan đến email, chúng tôi có thể giúp.,
sos.more_expert_cta,sos-hotline,BRIDGE,See the Process,Xem Quy Trình,
pricing.comp_them1,pricing,COMPARISON,Validators check if an inbox exists.,Các Validator kiểm tra xem inbox có tồn tại không.,
pricing.comp_us1,pricing,COMPARISON,We assess whether sending there is safe.,Chúng tôi đánh giá xem gửi đến đó có an toàn không.,
pricing.comp_them2,pricing,COMPARISON,Validators give you a status.,Các Validator cho bạn một trạng thái.,
pricing.comp_us2,pricing,COMPARISON,We give you the reasoning behind a decision.,Chúng tôi đưa ra lý do đằng sau quyết định.,
pricing.comp_them3,pricing,COMPARISON,Validators flag what bounces.,Các Validator gắn cờ những gì bị bounce.,
pricing.comp_us3,pricing,COMPARISON,We flag what damages your reputation without bouncing.,Chúng tôi gắn cờ những gì làm hại danh tiếng của bạn mà không cần bị bounce.,
pricing.comp_them4,pricing,COMPARISON,Validators process volume.,Các Validator xử lý số lượng lớn.,
pricing.comp_us4,pricing,COMPARISON,We interpret patterns across your entire list.,Chúng tôi diễn giải các mô hình trên toàn bộ danh sách của bạn.,
pricing.comp_them5,pricing,COMPARISON,Validators leave you guessing.,Các Validator để bạn tự đoán.,
pricing.comp_us5,pricing,COMPARISON,We tell you what to do and why.,Chúng tôi cho bạn biết cần làm gì và tại sao.,
pricing.compare_title,pricing,COMPARISON,What You Are Actually Paying For,Bạn Thực Sự Đang Trả Tiền Cho Điều Gì,
pricing.compare_subtitle,pricing,COMPARISON,The difference between checking and interpreting.,Sự khác biệt giữa kiểm tra và diễn giải.,
