quiz.res_crisis_reality,quiz,You need a remediation strategy, not just a clean list. I help identify the root cause.,Anda butuh strategi perbaikan, bukan hanya daftar bersih. Saya membantu mengidentifikasi akar penyebab.
quiz.res_crisis_subhead,quiz,An ESP warning is the final straw. Your reputation is already damaged.,Peringatan ESP adalah puncak masalah. Reputasi Anda sudah rusak.
quiz.res_decay_headline,quiz,Your list is slowly suffocating your delivery.,Daftar Anda perlahan mencekik pengiriman Anda.
quiz.res_decay_reality,quiz,This is the hardest problem to diagnose because there is no event.,Ini masalah tersulit untuk didiagnosis karena tidak ada kejadian.
quiz.res_decay_subhead,quiz,No bounce spike. No warning. Just a quiet decline as dead weight accumulates.,Tidak ada lonjakan bounce. Tidak ada peringatan. Hanya penurunan diam-diam saat beban mati menumpuk.
quiz.res_infra_headline,quiz,Your infrastructure may be the problem.,Infrastruktur Anda mungkin masalahnya.
quiz.res_infra_reality,quiz,Domain authentication tells inbox providers you are who you say you are.,Autentikasi domain memberi tahu penyedia inbox bahwa Anda adalah siapa yang Anda katakan.
quiz.res_infra_subhead,quiz,Without proper DMARC authentication, even a clean list can land in spam.,Tanpa autentikasi DMARC yang tepat, daftar yang bersih pun bisa masuk spam.
quiz.res_noconsent_headline,quiz,We can absolutely help clean your list.,Kami benar-benar dapat membantu membersihkan daftar Anda.
quiz.res_noconsent_reality,quiz,"We catch invalid addresses, spam traps, role accounts, and high-risk patterns that other validators miss.",Kami menangkap alamat tidak valid, jebakan spam, akun peran, dan pola berisiko tinggi yang dilewatkan validator lain.
quiz.res_noconsent_subhead,quiz,Lists without explicit consent carry more risk—but that doesn't mean you can't send safely.,Daftar tanpa persetujuan eksplisit membawa risiko lebih besar—tetapi bukan berarti Anda tidak bisa mengirim dengan aman.
quiz.res_preventive_headline,quiz,You are in a good spot. Let's keep it that way.,Anda berada di posisi yang baik. Mari kita pertahankan.
quiz.res_preventive_reality,quiz,You are doing the right things. A safety check ensures you do not accidentally hit a trap.,Anda melakukan hal yang benar. Pemeriksaan keamanan memastikan Anda tidak secara tidak sengaja menabrak jebakan.
quiz.res_preventive_subhead,quiz,Healthy lists still decay by about 22% every year.,Daftar yang sehat masih membusuk sekitar 22% setiap tahun.
quiz.res_toolfail_headline,quiz,Your validation tool missed something.,Alat validasi Anda melewatkan sesuatu.
quiz.res_toolfail_reality,quiz,Automated tools cannot see behavioral history. They check code, not context.,Alat otomatis tidak bisa melihat riwayat perilaku. Mereka memeriksa kode, bukan konteks.
quiz.res_toolfail_subhead,quiz,You paid for syntax checking. You were punished for reputation.,Anda membayar untuk pemeriksaan sintaksis. Anda dihukum karena reputasi.
quiz.save_diagnosis,quiz,Save your diagnosis,Simpan diagnosis Anda
quiz.send_results,quiz,Send My Results,Kirim Hasil Saya
quiz.skip,quiz,Skip,Lewati
quiz.step_1_of_4,quiz,Question 1 of 4,Pertanyaan 1 dari 4
quiz.what_this_means,quiz,What this means,Apa artinya ini
quiz.what_well_do,quiz,What we'll do,Apa yang akan kami lakukan
sos.bridge_dfy_cta,sos-hotline,See What You Get,Lihat Apa yang Anda Dapatkan
sos.bridge_dfy_desc,sos-hotline,"Send us your list. We review every address and return it labeled: Keep, Monitor, or Suppress.","Kirimkan daftar Anda kepada kami. Kami meninjau setiap alamat dan mengembalikannya dengan label: Simpan, Pantau, atau Tahan."
sos.bridge_dfy_title,sos-hotline,Done-For-You Review,Tinjauan Layanan Lengkap (Done-For-You)
sos.bridge_expert_cta,sos-hotline,See the Process,Lihat Prosesnya
sos.bridge_expert_desc,sos-hotline,Every list review includes a walkthrough of your results. We explain what we found.,Setiap tinjauan daftar mencakup penjelasan hasil Anda. Kami menjelaskan apa yang kami temukan.
sos.bridge_expert_title,sos-hotline,Expert Interpretation,Interpretasi Ahli
sos.bridge_intro,sos-hotline,"SOS gives you guidance. If you need someone to actually touch your data, we offer:",SOS memberi Anda panduan. Jika Anda membutuhkan seseorang untuk benar-benar menyentuh data Anda, kami menawarkan:
sos.bridge_title,sos-hotline,Need More Than Advice?,Butuh Lebih Dari Sekadar Saran?
sos.final_cta_subtext,sos-hotline,"Email us. Within 48 hours. Often sooner.","Email kami. Dalam 48 jam. Seringkali lebih cepat."
sos.final_cta_title,sos-hotline,Ready to Ask Your Question?,Siap Mengajukan Pertanyaan?
sos.how_step1,sos-hotline,You send an email to the SOS Hotline,Anda mengirim email ke Hotline SOS
sos.how_step2,sos-hotline,You receive an automatic reply confirming we got it,Anda menerima balasan otomatis yang mengonfirmasi bahwa kami menerimanya
sos.how_step3,sos-hotline,YT personally reads and responds within 48 hours,Yanna-Torry membacanya secara pribadi dan merespons dalam 48 jam
sos.topic_career_advice,sos-hotline,Career advice,Saran karir
sos.why_free_p1,sos-hotline,We offer real help without charging because it is the right thing to do.,"Kami menawarkan bantuan nyata tanpa biaya karena itu adalah hal yang benar untuk dilakukan."
sos.why_free_p2,sos-hotline,If you need more than guidance, we offer done-for-you list reviews with expert interpretation included.,Jika Anda membutuhkan lebih dari sekadar panduan, kami menawarkan tinjauan daftar layanan lengkap dengan interpretasi ahli.
sos.why_free_tagline,sos-hotline,Trust beats tactics.,Kepercayaan mengalahkan taktik.
sos.why_free_title,sos-hotline,Why Is This Free?,Mengapa Ini Gratis?
audit.badge,audit,Free Self-Assessment,Penilaian Mandiri Gratis
audit.title,audit,Inbox Placement Self-Audit,Audit Mandiri Penempatan Inbox
audit.subtitle,audit,What most senders never check. Use this monthly. Be honest. This is how problems get caught before revenue drops.,Apa yang kebanyakan pengirim tidak pernah periksa. Gunakan ini setiap bulan. Jujurlah. Inilah cara masalah ditangkap sebelum pendapatan turun.
audit.disclaimer,audit,Important: This audit covers general best practices. Every business is different. A monthly newsletter has different needs than a daily SaaS notification. Some items here may not apply to you at all. The goal is awareness, not a perfect score.,Penting: Audit ini mencakup praktik terbaik umum. Setiap bisnis berbeda. Buletin bulanan memiliki kebutuhan yang berbeda dari notifikasi SaaS harian. Beberapa item di sini mungkin tidak berlaku untuk Anda sama sekali. Tujuannya adalah kesadaran, bukan skor sempurna.
audit.meta_time,audit,5-7 minutes,5-7 menit
audit.meta_sections,audit,10 sections,10 bagian
audit.meta_tips,audit,Personalized tips,Tip yang dipersonalisasi
audit.start_button,audit,Start Audit,Mulai Audit
audit.section_automation,audit,Automation Timing,Waktu Otomatisasi
audit.section_header,audit,Header & Footer Hygiene,Kebersihan Header & Footer
audit.section_tracking,audit,Tracking Domain Risk,Risiko Domain Pelacakan
audit.section_engagement,audit,Engagement Logic,Logika Keterlibatan
audit.section_layout,audit,Layout Pattern Risk,Risiko Pola Tata Letak
audit.section_sendtime,audit,Send Time Logic,Logika Waktu Pengiriman
audit.section_migration,audit,ESP Migration Risk,Risiko Migrasi ESP
audit.section_subject,audit,Subject vs Preview Trust,Kepercayaan Subjek vs Pratinjau
audit.section_spam,audit,Spam Folder Rendering,Rendering Folder Spam
audit.section_validation,audit,Validation Frequency,Frekuensi Validasi
audit.grade_strong,audit,Strong Foundation,Fondasi Kuat
audit.grade_attention,audit,Needs Attention,Perlu Perhatian
audit.grade_risk,audit,High Risk,Risiko Tinggi
audit.out_of_100,audit,out of 100,dari 100
audit.score_by_section,audit,Score by Section,Skor per Bagian
audit.next_section,audit,Next Section,Bagian Selanjutnya
audit.see_results,audit,See Results,Lihat Hasil
audit.retake,audit,Retake Audit,Ulangi Audit
audit.save_title,audit,Save Your Results,Simpan Hasil Anda
audit.send_report,audit,Send My Report,Kirim Laporan Saya
audit.report_sent,audit,Report Sent!,Laporan Terkirim!
audit.save_subtitle,audit,Get a detailed report emailed and optionally join our waitlist.,Dapatkan laporan rinci melalui email dan opsional bergabung dengan daftar tunggu kami.
audit.capture_newsletter,audit,"Monthly deliverability insights (no spam, just signal)","Wawasan deliverability bulanan (tidak ada spam, hanya sinyal)"
audit.capture_bonus,audit,1,500 credits when we launch,1.500 kredit saat kami meluncurkan
audit.capture_waitlist,audit,Notify me when self-serve launches,Beri tahu saya saat layanan mandiri diluncurkan
audit.capture_contact,audit,Have someone reach out to discuss my audit results (no sales pitch),Minta seseorang menghubungi untuk mendiskusikan hasil audit saya (tidak ada promosi penjualan)
audit.capture_skip,audit,"Skip, I'll just review on screen","Lewati, saya hanya akan meninjau di layar"
audit.recommendations_title,audit,Action Items by Section,Item Tindakan per Bagian
audit.recommendations_subtitle,audit,Everything flagged based on your answers. Review what applies to you:,Semua yang ditandai berdasarkan jawaban Anda. Tinjau apa yang berlaku untuk Anda:
audit.sos_title,audit,Not Sure What Applies to You?,Tidak Yakin Apa yang Berlaku untuk Anda?
audit.sos_desc,audit,Every business is different. What's critical for a daily sender might be irrelevant for a monthly newsletter. If you're unsure which items actually matter for your situation, talk to someone who's seen it all.,Setiap bisnis berbeda. Apa yang kritis bagi pengirim harian mungkin tidak relevan untuk buletin bulanan. Jika Anda tidak yakin item mana yang benar-benar penting untuk situasi Anda, bicaralah dengan seseorang yang sudah melihat semuanya.
audit.sos_badge,audit,Free. No pitch. Just answers.,Gratis. Tidak ada promosi. Hanya jawaban.
audit.sos_card_desc,audit,"The SOS Hotline connects you with YT, a deliverability specialist who's cleaned thousands of lists and diagnosed hundreds of sending problems. Ask anything.","Hotline SOS menghubungkan Anda dengan YT, spesialis deliverability yang telah membersihkan ribuan daftar dan mendiagnosis ratusan masalah pengiriman. Tanyakan apa saja."
audit.sos_cta,audit,Talk to a Specialist,Bicara dengan Spesialis
audit.sos_learn_more,audit,Learn About SOS Hotline,Pelajari Lebih Lanjut Tentang Hotline SOS
audit.testimonial_quote,audit,Review My Emails goes beyond standard tools by identifying risky patterns others miss.,Review My Emails melampaui alat standar dengan mengidentifikasi pola berisiko yang dilewatkan orang lain.
audit.testimonial_author,audit,"Julia S., Italy","Julia S., Italia"
audit.get_cleaning,audit,Get Expert List Cleaning,Dapatkan Pembersihan Daftar Ahli
about.email_link,about,Email,Email
about.founder_title,about,"Founder, Review My Emails","Pendiri, Review My Emails"
audit.back,audit,Back,Kembali
audit.built_by,audit,Built by,Dibangun oleh
audit.get_cleaned,audit,Get Your List Cleaned,Bersihkan Daftar Anda
audit.important,audit,Important:,Penting:
audit.what_cover,audit,What we'll cover,Apa yang akan kami bahas
contact.modal_subtitle,common,Tell us what you're working on. We'll get back to you within one business day.,Ceritakan apa yang sedang Anda kerjakan. Kami akan menghubungi Anda kembali dalam satu hari kerja.
contact.modal_title,common,Get in Touch,Hubungi Kami
contact.submit,common,Send Message,Kirim Pesan
footer.legal,common,Privacy Policy · Terms,Kebijakan Privasi · Ketentuan
form.email_label,common,Email \*,Email \*
form.message_hint,common,Optional - but helps us prepare for the conversation.,Opsional - tetapi membantu kami bersiap untuk percakapan.
form.message_label,common,Message,Pesan
form.message_optional_label,common,Message (optional),Pesan (opsional)
form.name_label,common,Name \*,Nama \*
form.timezone_label,common,Timezone (optional),Zona Waktu (opsional)
form.timezone_select,common,Select your timezone,Pilih zona waktu Anda
form.timezone_select_optional,common,Select your timezone (optional),Pilih zona waktu Anda (opsional)
form.tz_alaska,common,Alaska Time,Waktu Alaska
form.tz_central,common,Central Time (CT),Waktu Tengah (CT)
form.tz_cet,common,Central European Time (CET),Waktu Eropa Tengah (CET)
form.tz_eastern,common,Eastern Time (ET),Waktu Timur (ET)
form.tz_eet,common,Eastern European Time,Waktu Eropa Timur
form.tz_gmt,common,GMT / UTC,GMT / UTC
form.tz_gulf,common,Gulf Standard Time,Waktu Standar Teluk
form.tz_hawaii,common,Hawaii Time,Waktu Hawaii
form.tz_india,common,India Standard Time,Waktu Standar India
form.tz_japan,common,Japan Standard Time,Waktu Standar Jepang
form.tz_london,common,London (GMT/BST),London (GMT/BST)
form.tz_mountain,common,Mountain Time (MT),Waktu Pegunungan (MT)
form.tz_nz,common,New Zealand Time,Waktu Selandia Baru
form.tz_other,common,Other,Lainnya
form.tz_pacific,common,Pacific Time (PT),Waktu Pasifik (PT)
form.tz_singapore,common,Singapore Time,Waktu Singapura
form.tz_sydney,common,Australian Eastern Time,Waktu Australia Timur
modal.subtitle,common,Tell us about your situation and we'll get back to you within 24 hours.,Ceritakan tentang situasi Anda dan kami akan menghubungi Anda kembali dalam 24 jam.
ui.message_received,common,Message Received,Pesan Diterima
ui.message_sent,common,Message Sent!,Pesan Terkirim!
ui.request_received,common,Request Received,Permintaan Diterima
ui.response_time,common,We'll get back to you within 24-48 hours.,Kami akan menghubungi Anda kembali dalam 24-48 jam.
ui.response_time_business,common,We'll get back to you within one business day.,Kami akan menghubungi Anda kembali dalam satu hari kerja.
Key,Page,English,Khmer
quiz.save_subtitle,quiz,Get a detailed report emailed and optionally join our waitlist.,ទទួលបានរបាយការណ៍លម្អិតតាមអ៊ីមែល និងចូលរួមក្នុងបញ្ជីរង់ចាំរបស់យើង (ជាជម្រើស)។
about.modal_close,about,Close,បិទ
Key,Page,English,Thai
home.step1_title,homepage,Send us your list,ส่งรายชื่อของคุณมาให้เรา
home.step1_desc,homepage,"CSV, Excel, whatever you have. We've seen it all. No judgment, no questions.","CSV, Excel, อะไรก็ได้ที่คุณมี เราเห็นมาหมดแล้ว ไม่มีการตัดสิน ไม่มีคำถาม"
home.step2_title,homepage,We review every address,เราตรวจสอบทุกที่อยู่
home.step2_desc,homepage,"One by one. Looking for bounces, spam traps, disposables, and reputation killers.","ทีละรายการ เพื่อหาการตีกลับ (Bounces), กับดักสแปม (Spam Traps), อีเมลใช้แล้วทิ้ง, และตัวทำลายชื่อเสียง"
home.step3_title,homepage,Get your clean list back,รับรายชื่อที่สะอาดกลับไป
home.step3_desc,homepage,With clear labels and a report. You'll know exactly what to do with each address.,พร้อมป้ายกำกับที่ชัดเจนและรายงาน คุณจะรู้แน่ชัดว่าต้องทำอย่างไรกับแต่ละที่อยู่
home.crisis_title,homepage,Crisis Mode?,อยู่ในภาวะวิกฤต?
home.crisis_cta,homepage,Email the SOS Hotline,ส่งอีเมลไปที่สายด่วน SOS
home.final_title,homepage,Ready to know what's in your list?,พร้อมที่จะรู้ว่ามีอะไรอยู่ในรายชื่อของคุณหรือยัง?
home.final_cta,homepage,Get My List Cleaned,ล้างรายชื่อของฉัน
home.symptoms_title,homepage,Sound familiar?,คุ้นๆ ไหม?
home.symptoms_subtitle,homepage,You're not alone. These are the patterns we see every day.,คุณไม่ได้อยู่คนเดียว นี่คือรูปแบบที่เราเห็นทุกวัน
home.symptom_1,homepage,<strong>No idea</strong> where half this list came from.,<strong>ไม่รู้เลย</strong> ว่าครึ่งหนึ่งของรายชื่อนี้มาจากไหน
home.symptom_2,homepage,One tool says <strong>clean</strong>. Another says <strong>risky</strong>.,เครื่องมือหนึ่งบอกว่า <strong>สะอาด</strong> อีกอันบอกว่า <strong>เสี่ยง</strong>
home.symptom_3,homepage,"<strong>Scared to remove</strong> subscribers, even the ones who never open.","<strong>กลัวที่จะลบ</strong> ผู้ติดตาม แม้แต่คนที่ไม่เคยเปิดอ่านเลย"
home.symptom_4,homepage,Haven't emailed this list in <strong>months</strong>. Afraid to restart.,ไม่ได้ส่งอีเมลหาคนกลุ่มนี้มา <strong>หลายเดือน</strong> กลัวที่จะเริ่มใหม่
home.symptom_5,homepage,Paid for list cleaning <strong>yesterday</strong>. Bounces <strong>today</strong>.,เพิ่งจ่ายเงินล้างรายชื่อไป <strong>เมื่อวาน</strong> วันนี้ก็ยังมี <strong>Bounce</strong>
home.symptom_6,homepage,Open rates <strong>dropped</strong> and nobody can explain why.,อัตราการเปิด <strong>ลดลง</strong> และไม่มีใครอธิบายได้ว่าทำไม
home.symptom_7,homepage,List keeps <strong>growing</strong>. Revenue <strong>doesn't</strong>.,รายชื่อ <strong>โตขึ้น</strong> เรื่อยๆ แต่รายได้ <strong>ไม่เพิ่ม</strong>
home.symptom_8,homepage,"Emails <strong>not inboxing</strong> anymore, going to spam or nowhere at all.","อีเมล <strong>ไม่เข้า Inbox</strong> อีกต่อไป ลง Spam หรือหายไปเลย"
home.crisis_subtitle,homepage,"If any of these are true, start here.","ถ้าข้อใดข้อหนึ่งเป็นจริง เริ่มต้นที่นี่"
home.crisis_item_1,homepage,ESP sent a compliance warning or paused your sending.,ESP ส่งคำเตือนเรื่องการปฏิบัติตามกฎ หรือระงับการส่งของคุณ
home.crisis_item_2,homepage,"Blocklisted, or you think you might be.","ติด Blacklist หรือคุณคิดว่าอาจจะติดแล้ว"
home.crisis_item_3,homepage,Last send spiked bounces. Now everyone's afraid to send again.,การส่งครั้งล่าสุดมี Bounce พุ่งสูง ตอนนี้ทุกคนกลัวที่จะส่งอีกครั้ง
home.steps_title,homepage,How we actually work,เราทำงานอย่างไร
home.steps_subtitle,homepage,Simple process. Expert execution. Real results.,ขั้นตอนง่ายๆ ดำเนินการโดยผู้เชี่ยวชาญ ผลลัพธ์จริง
home.step1_number,homepage,Step 01,ขั้นตอนที่ 01
home.step2_number,homepage,Step 02,ขั้นตอนที่ 02
home.step3_number,homepage,Step 03,ขั้นตอนที่ 03
home.steps_whisper,homepage,No outsourcing. No AI guesswork. Just experienced eyes on every list.,ไม่จ้างคนนอก ไม่ใช้ AI เดาสุ่ม มีเพียงสายตาที่มีประสบการณ์ดูทุกรายชื่อ
home.pullquote_text,homepage,"""She cleaned and organized our database with incredible efficiency and set us up for long-term success.""","""เธอทำความสะอาดและจัดระเบียบฐานข้อมูลของเราได้อย่างมีประสิทธิภาพเหลือเชื่อ และวางรากฐานให้เราประสบความสำเร็จในระยะยาว"""
home.pullquote_author,homepage,"Sam Cande, UK","Sam Cande, สหราชอาณาจักร"
home.manifesto_text,homepage,You've probably run your list through a tool before. It said 95% valid. You sent anyway. Bounces happened. That's the gap between validation and understanding.,คุณอาจเคยใช้เครื่องมือตรวจสอบรายชื่อมาก่อน มันบอกว่า 95% ใช้ได้ คุณก็ส่งไป แล้วก็เกิด Bounce นั่นคือช่องว่างระหว่างการตรวจสอบ (Validation) กับความเข้าใจ
home.features_title,homepage,What you actually get,สิ่งที่คุณจะได้รับจริงๆ
home.feature1_title,homepage,Clear action labels,ป้ายกำกับที่ชัดเจน
home.feature1_desc,homepage,"Every email marked Keep, Monitor, or Suppress. No ambiguity, no guessing what to do next.","ทุกอีเมลจะถูกระบุว่า เก็บ, เฝ้าระวัง, หรือ ระงับ ไม่มีความคลุมเครือ ไม่ต้องเดาว่าจะทำอะไรต่อ"
home.feature2_title,homepage,Detailed reasoning,เหตุผลโดยละเอียด
home.feature2_desc,homepage,"Not just 'risky', we tell you why. Spam trap patterns, domain issues, behavioral signals.","ไม่ใช่แค่บอกว่า 'เสี่ยง' แต่เราบอกเหตุผล ทั้งรูปแบบ Spam Trap, ปัญหาโดเมน, สัญญาณพฤติกรรม"
home.feature3_title,homepage,Expert interpretation included,รวมการตีความโดยผู้เชี่ยวชาญ
home.feature3_desc,homepage,"Not just data, context. Every list review includes a walkthrough of your results. I explain what I found, what it means, and exactly what to do next.","ไม่ใช่แค่ข้อมูล แต่คือบริบท ทุกการตรวจสอบรายชื่อรวมถึงการอธิบายผลลัพธ์ ฉันจะอธิบายสิ่งที่เจอ ความหมาย และสิ่งที่ต้องทำต่อไป"
home.quiz_cta_title,homepage,Not sure if your list needs this?,ไม่แน่ใจว่ารายชื่อของคุณต้องการสิ่งนี้หรือไม่?
home.quiz_cta_subtext,homepage,"Take a 2-minute self-assessment. Four questions about how you built your list, and we'll tell you what risk level you're probably at.","ทำแบบประเมินตนเอง 2 นาที 4 คำถามเกี่ยวกับวิธีที่คุณสร้างรายชื่อ แล้วเราจะบอกระดับความเสี่ยงที่คุณน่าจะเจอ"
home.quiz_cta_button,homepage,Take the 2-Minute Risk Check,ทำแบบตรวจสอบความเสี่ยง 2 นาที
home.testimonials_title,homepage,People who trusted us,คนที่ไว้ใจเรา
home.testimonials_subtitle,homepage,Real feedback from real senders.,เสียงตอบรับจริงจากผู้ส่งจริง
home.testimonial1_name,homepage,Megan S.,Megan S.
home.testimonial1_role,homepage,UK,สหราชอาณาจักร
home.testimonial1_quote,homepage,"""The SOS Hotline gave me extremely helpful guidance. Yanna-Torry cleaned our list and supported us beyond the call.""","""สายด่วน SOS ให้คำแนะนำที่เป็นประโยชน์มาก Yanna-Torry ล้างรายชื่อของเราและสนับสนุนเราเกินกว่าแค่การคุยกัน"""
home.testimonial2_name,homepage,Chris Mead,Chris Mead
home.testimonial2_role,homepage,UK,สหราชอาณาจักร
home.testimonial2_quote,homepage,"""Real human expertise. Tailor-made solutions. Not an AI tool.""","""ความเชี่ยวชาญจากคนจริงๆ โซลูชันที่ออกแบบมาเฉพาะ ไม่ใช่เครื่องมือ AI"""
home.testimonial3_name,homepage,Adeola Sole,Adeola Sole
home.testimonial3_role,homepage,UK,สหราชอาณาจักร
home.testimonial3_quote,homepage,"""RME provides deep insights our ESP misses and helped us segment smarter.""","""RME ให้ข้อมูลเชิงลึกที่ ESP ของเรามองข้าม และช่วยให้เราแบ่งกลุ่มได้ฉลาดขึ้น"""
home.final_subtext,homepage,"Send us your list. We'll tell you exactly what's safe to send, what needs watching, and what will hurt you.","ส่งรายชื่อมาให้เรา เราจะบอกคุณอย่างชัดเจนว่าอะไรปลอดภัยที่จะส่ง อะไรต้องเฝ้าระวัง และอะไรจะทำร้ายคุณ"
home.final_footer,homepage,Most lists returned within 24 hours.,รายชื่อส่วนใหญ่จะส่งคืนภายใน 24 ชั่วโมง
ui.menu_open,common,Open menu,เปิดเมนู
ui.menu_close,common,Close menu,ปิดเมนู
sos.bridge_dfy_cta,sos-hotline,See What You Get,ดูสิ่งที่คุณจะได้รับ
sos.bridge_dfy_desc,sos-hotline,"Send us your list. We review every address and return it labeled: Keep, Monitor, or Suppress.","ส่งรายชื่อมาให้เรา เราตรวจสอบทุกที่อยู่และส่งคืนพร้อมป้ายกำกับ: เก็บ, เฝ้าระวัง, หรือ ระงับ"
sos.bridge_dfy_title,sos-hotline,Done-For-You Review,การตรวจสอบแบบครบวงจร (Done-For-You)
sos.bridge_expert_cta,sos-hotline,See the Process,ดูกระบวนการ
sos.bridge_expert_desc,sos-hotline,Every list review includes a walkthrough of your results. We explain what we found.,ทุกการตรวจสอบรายชื่อรวมถึงการอธิบายผลลัพธ์ เราอธิบายสิ่งที่เราพบ
sos.bridge_expert_title,sos-hotline,Expert Interpretation,การตีความโดยผู้เชี่ยวชาญ
sos.bridge_intro,sos-hotline,"SOS gives you guidance. If you need someone to actually touch your data, we offer:","SOS ให้คำแนะนำ ถ้าคุณต้องการใครสักคนที่มาจัดการข้อมูลของคุณจริงๆ เราเสนอ:"
sos.bridge_title,sos-hotline,Need More Than Advice?,ต้องการมากกว่าคำแนะนำ?
sos.final_cta_subtext,sos-hotline,"Email us. Within 48 hours. Often sooner.","ส่งอีเมลหาเรา ภายใน 48 ชั่วโมง บ่อยครั้งเร็วกว่านั้น"
sos.final_cta_title,sos-hotline,Ready to Ask Your Question?,พร้อมถามคำถามหรือยัง?
sos.how_step1,sos-hotline,You send an email to the SOS Hotline,คุณส่งอีเมลไปที่สายด่วน SOS
sos.how_step2,sos-hotline,You receive an automatic reply confirming we got it,คุณจะได้รับอีเมลตอบกลับอัตโนมัติยืนยันว่าเราได้รับเรื่องแล้ว
sos.how_step3,sos-hotline,YT personally reads and responds within 48 hours,Yanna-Torry อ่านด้วยตัวเองและตอบกลับภายใน 48 ชั่วโมง
sos.topic_career_advice,sos-hotline,Career advice,คำแนะนำอาชีพ
sos.why_free_p1,sos-hotline,"We offer real help without charging because it is the right thing to do. Most questions fall into a few common patterns I see every week. Some people need a quick answer. Some need deeper support. Either way, the conversation starts the same.","เราเสนอความช่วยเหลือจริงโดยไม่คิดเงิน เพียงเพราะมันเป็นสิ่งที่ควรทำ คำถามส่วนใหญ่ตกอยู่ในรูปแบบเดิมๆ ที่ฉันเห็นทุกสัปดาห์ บางคนต้องการคำตอบด่วน บางคนต้องการการสนับสนุนเชิงลึก ไม่ว่าจะทางไหน การสนทนาเริ่มต้นเหมือนกัน"
sos.why_free_p2,sos-hotline,"If you need more than guidance, we offer done-for-you list reviews with expert interpretation included. But there is no pressure. The SOS Hotline exists to help, not to sell.","ถ้าคุณต้องการมากกว่าคำแนะนำ เราเสนอบริการตรวจสอบรายชื่อแบบครบวงจรพร้อมการตีความโดยผู้เชี่ยวชาญ แต่ไม่มีการกดดัน สายด่วน SOS มีไว้เพื่อช่วย ไม่ใช่เพื่อขาย"
sos.why_tagline,sos-hotline,Trust beats tactics.,ความไว้ใจชนะกลยุทธ์
sos.why_free_title,sos-hotline,Why Is This Free?,ทำไมถึงฟรี?
quiz.res_preventive_reality,quiz,You are doing the right things. A safety check ensures you do not accidentally hit a trap that did not exist last time you sent.,คุณกำลังทำสิ่งที่ถูกต้อง การตรวจสอบความปลอดภัยช่วยให้มั่นใจว่าคุณจะไม่เผลอไปโดนกับดักที่ยังไม่มีในครั้งล่าสุดที่คุณส่ง
quiz.modal_title,quiz,Talk to a Specialist,คุยกับผู้เชี่ยวชาญ
quiz.modal_subtitle,quiz,Tell us about your situation and we'll get back to you within 24 hours.,เล่าสถานการณ์ของคุณให้เราฟัง เราจะติดต่อกลับภายใน 24 ชั่วโมง
quiz.modal_message_placeholder,quiz,Tell us about your situation...,เล่าสถานการณ์ของคุณให้เราฟัง...
sos.final_title,sos-hotline,Ready to Ask Your Question?,พร้อมถามคำถามหรือยัง?
sos.final_cta,sos-hotline,Contact the SOS Hotline,ติดต่อสายด่วน SOS
sos.modal_title,sos-hotline,SOS Hotline,สายด่วน SOS
sos.modal_message_label,sos-hotline,What's going on?,เกิดอะไรขึ้น?
sos.modal_placeholder,sos-hotline,What's your email question?,คำถามเรื่องอีเมลของคุณคืออะไร?
sos.modal_submit,sos-hotline,Send to SOS Hotline,ส่งไปที่สายด่วน SOS
sos.modal_success,sos-hotline,Message Received,ได้รับข้อความแล้ว
sos.modal_success_text,sos-hotline,We'll get back to you within 24-48 hours.,เราจะติดต่อกลับภายใน 24-48 ชั่วโมง
sos.step1,sos-hotline,You send an email to the SOS Hotline,คุณส่งอีเมลไปที่สายด่วน SOS
sos.step2,sos-hotline,You receive an automatic reply confirming we got it,คุณจะได้รับอีเมลตอบกลับอัตโนมัติยืนยันว่าเราได้รับเรื่องแล้ว
sos.step3,sos-hotline,YT personally reads and responds within 48 hours,Yanna-Torry อ่านด้วยตัวเองและตอบกลับภายใน 48 ชั่วโมง
Key,Page,English,Turkish
home.step1_title,homepage,Send us your list,Listenizi bize gönderin
home.step1_desc,homepage,"CSV, Excel, whatever you have. We've seen it all. No judgment, no questions.","CSV, Excel, elinizde ne varsa. Hepsini gördük. Yargılama yok, soru yok."
home.step2_title,homepage,We review every address,Her adresi inceliyoruz
home.step2_desc,homepage,"One by one. Looking for bounces, spam traps, disposables, and reputation killers.","Tek tek. Bounce'lar, spam tuzakları, geçici e-postalar ve itibar katilleri aranıyor."
home.step3_title,homepage,Get your clean list back,Temiz listenizi geri alın
home.step3_desc,homepage,With clear labels and a report. You'll know exactly what to do with each address.,Net etiketler ve bir raporla. Her adresle tam olarak ne yapacağınızı bileceksiniz.
home.crisis_title,homepage,Crisis Mode?,Kriz Modu?
home.crisis_cta,homepage,Email the SOS Hotline,SOS Hattına E-posta Gönderin
home.final_title,homepage,Ready to know what's in your list?,Listenizde ne olduğunu bilmeye hazır mısınız?
home.final_cta,homepage,Get My List Cleaned,Listemi Temizle
home.symptoms_title,homepage,Sound familiar?,Tanıdık geliyor mu?
home.symptoms_subtitle,homepage,You're not alone. These are the patterns we see every day.,Yalnız değilsiniz. Bunlar her gün gördüğümüz kalıplar.
home.symptom_1,homepage,<strong>No idea</strong> where half this list came from.,Listenin yarısının nereden geldiği hakkında <strong>hiçbir fikriniz yok</strong>.
